observed,weather,use,number,general_use,date,month,,,
2023-09-24T14:53:00Z,Clear,bicyclists,2,bikes,9/24/23,9,,Bikes,130
2023-09-23T00:35:00Z,Partly Cloudy,bicyclists,0,bikes,9/23/23,9,,boats,1
2023-09-17T10:15:00Z,Clear,bicyclists,0,bikes,9/17/23,9,,dogs ,722
2023-10-09T17:30:00Z,Clear,bicyclists,5,bikes,10/9/23,10,,kayak ,20
2023-10-09T16:30:00Z,Clear,bicyclists,5,bikes,10/9/23,10,,pedestrians,22141
2023-10-05T13:30:00Z,Partly Cloudy,bicyclists,2,bikes,10/5/23,10,,vehicles,185
2023-10-17T19:30:30Z,Overcast,bicyclists,1,bikes,10/17/23,10,,,
2023-10-17T19:28:32Z,Overcast,bicyclists,1,bikes,10/17/23,10,,,
2023-09-29T22:02:24Z,Overcast,bicyclists,0,bikes,9/29/23,9,,,
2023-10-17T16:43:05Z,NA,bicyclists,0,bikes,10/17/23,10,,,
2023-09-26T19:00:00Z,Partly Cloudy,bicyclists,5,bikes,9/26/23,9,,,
2023-09-23T15:31:42Z,Partly Cloudy,bicyclists,0,bikes,9/23/23,9,,,
2023-10-13T22:00:00Z,Partly Cloudy,bicyclists,3,bikes,10/13/23,10,,,
2023-10-10T19:00:00Z,Partly Cloudy,bicyclists,0,bikes,10/10/23,10,,,
2023-09-05T13:30:00Z,Clear,bicyclists,0,bikes,9/5/23,9,,,
2023-09-19T11:45:00Z,Overcast,bicyclists,0,bikes,9/19/23,9,,,
2023-09-12T19:18:00Z,Overcast,bicyclists,0,bikes,9/12/23,9,,,
2023-10-07T14:30:00Z,Overcast,bicyclists,1,bikes,10/7/23,10,,,
2023-10-07T15:30:00Z,Overcast,bicyclists,2,bikes,10/7/23,10,,,
2023-09-30T21:30:00Z,Clear,bicyclists,0,bikes,9/30/23,9,,,
2023-09-17T21:30:00Z,Overcast,bicyclists,2,bikes,9/17/23,9,,,
2023-10-14T22:05:20Z,Clear,bicyclists,1,bikes,10/14/23,10,,,
2023-10-14T21:05:11Z,Clear,bicyclists,1,bikes,10/14/23,10,,,
2023-10-15T22:30:00Z,Overcast,bicyclists,0,bikes,10/15/23,10,,,
2023-10-02T10:00:00Z,Clear,bicyclists,0,bikes,10/2/23,10,,,
2023-10-02T11:00:00Z,Clear,bicyclists,0,bikes,10/2/23,10,,,
2023-10-02T12:00:00Z,Clear,bicyclists,0,bikes,10/2/23,10,,,
2023-10-14T20:00:00Z,Clear,bicyclists,1,bikes,10/14/23,10,,,
2023-09-18T09:04:00Z,Partly Cloudy,bicyclists,0,bikes,9/18/23,9,,,
2023-10-13T15:17:21Z,Partly Cloudy,bicyclists,0,bikes,10/13/23,10,,,
2023-10-12T19:45:00Z,Overcast,bicyclists,1,bikes,10/12/23,10,,,
